Computer,DistinguishedName,enabled,description,whenCreated,Stamp
BGLRL5400085,"CN=BGLRL5400085,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled - Termed - 3/7/2022 - WO0000001408875,12/4/2020 16:53,3/7/2022 8:44
BGLRM9100119,"CN=BGLRM9100119,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/27/2018 3:27,12/11/2021 14:51
BGLRM9100700,"CN=BGLRM9100700,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/10/2019 8:29,9/20/2021 23:21
BGLRM9100788,"CN=BGLRM9100788,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,6/15/2020 11:39,12/1/2021 8:42
BGLRT49500103,"CN=BGLRT49500103,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/25/2020 18:34,1/20/2022 14:01
BGLRM9100746,"CN=BGLRM9100746,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/17/2020 8:06,9/15/2020 16:50
BGLRO7060068,"CN=BGLRO7060068,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,8/1/2019 2:39,11/30/2021 8:41
BGLRM9000281,"CN=BGLRM9000281,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/8/2017 23:19,2/3/2021 14:12
BGLRM9100488,"CN=BGLRM9100488,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/20/2019 3:13,11/12/2021 21:13
BGLRM9001170,"CN=BGLRM9001170,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/15/2020 11:59,8/11/2020 17:01
BGLRT4300008,"CN=BGLRT4300008,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/30/2019 4:26,10/27/2020 12:44
BGLRM9100290,"CN=BGLRM9100290,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/29/2018 3:54,7/12/2020 15:36
BGLRM9100386,"CN=BGLRM9100386,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/6/2018 2:04,6/6/2021 1:31
BGLRM9000763,"CN=BGLRM9000763,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,3/27/2019 0:49,11/30/2021 8:42
BGLRM9100610,"CN=BGLRM9100610,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/20/2019 5:01,2/19/2020 22:29
BGLRM9000809,"CN=BGLRM9000809,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/16/2018 5:11,8/19/2020 19:07
BGLRM9000497,"CN=BGLRM9000497,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/20/2017 3:17,6/2/2020 2:54
BGLRO7060018,"CN=BGLRO7060018,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/27/2019 0:59,3/16/2022 19:23
BGLRT4600214,"CN=BGLRT4600214,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/21/2018 3:51,3/14/2020 18:50
BGLRT49500573,"CN=BGLRT49500573,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,,3/3/2022 15:37,3/9/2022 13:18
BGLRM9000848,"CN=BGLRM9000848,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/15/2018 0:29,2/16/2021 16:54
BGLRM9100093,"CN=BGLRM9100093,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/6/2018 0:10,7/23/2020 16:15
BGLRM9100540,"CN=BGLRM9100540,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/15/2019 5:39,10/26/2020 2:40
