"Name","DistinguishedName","enabled","description","whenCreated","Stamp"
"BGLRM9000201","CN=BGLRM9000201,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/11/2017 3:08:51 AM","7/2/2020 7:00:06 PM"
"BGLRM9100164","CN=BGLRM9100164,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","5/12/2018 4:45:16 AM","12/2/2021 8:42:07 AM"
"BGLRM9100249","CN=BGLRM9100249,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/25/2018 6:05:51 AM","7/23/2020 12:17:05 PM"
"BGLRO7060320","CN=BGLRO7060320,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled - Termed - 3/21/2022 - WO0000001422468","12/30/2019 10:18:06 AM","11/12/2021 10:06:45 AM"
"BGLRL5400127","CN=BGLRL5400127,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled - Termed - 2/10/2022 - WO0000001384112","7/25/2020 1:15:49 PM","2/10/2022 9:20:52 AM"
"BGLRM91000144","CN=BGLRM91000144,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/23/2019 6:33:57 PM","9/22/2020 9:03:01 PM"
"BGLRO7060322","CN=BGLRO7060322,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","12/30/2019 10:37:39 AM","11/11/2021 9:37:04 PM"
"BGLRL5400131","CN=BGLRL5400131,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/25/2020 1:27:23 PM","8/4/2022 8:25:02 PM"
"BGLRM9100121","CN=BGLRM9100121,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/30/2018 5:13:06 PM","3/17/2021 6:40:06 PM"
"BGLRO7060324","CN=BGLRO7060324,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","12/30/2019 12:35:00 PM","11/12/2021 1:37:55 PM"
"BGLRO7060325","CN=BGLRO7060325,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","12/30/2019 12:41:27 PM","11/12/2021 7:44:36 PM"
"BGLRM9001119","CN=BGLRM9001119,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/6/2020 5:16:30 AM","2/24/2022 4:42:21 PM"
"BGLRT4950006","CN=BGLRT4950006,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/25/2020 9:48:06 PM","2/25/2020 9:48:06 PM"
"BGLRT4800484","CN=BGLRT4800484,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/9/2022 11:03:46 PM","3/9/2022 11:03:47 PM"
"BGLRM9100533","CN=BGLRM9100533,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/27/2019 4:29:00 AM","3/13/2020 11:49:23 AM"
"BGLRO7060035","CN=BGLRO7060035,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/17/2019 1:55:28 AM","6/7/2020 10:17:28 PM"
"BGLRM91S00055","CN=BGLRM91S00055,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/19/2019 3:50:05 AM","3/26/2020 4:00:54 PM"
"BGLRT5400139","CN=BGLRT5400139,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/25/2020 5:04:35 PM","7/25/2020 5:04:35 PM"
"BGLRT49500507","CN=BGLRT49500507,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/10/2021 1:13:49 PM","6/20/2022 12:59:22 PM"
"BGLRM901016","CN=BGLRM901016,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/27/2019 4:49:18 AM","7/28/2020 2:28:50 PM"
"BGLRO7060165","CN=BGLRO7060165,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","11/19/2019 3:54:54 AM","11/12/2021 4:40:44 PM"
"BGLRL5400141","CN=BGLRL5400141,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False",,"7/25/2020 5:18:48 PM","3/18/2021 11:29:15 AM"
"BGLRT4800442","CN=BGLRT4800442,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"9/22/2021 11:13:05 AM","6/17/2022 11:52:10 AM"
"BGLRO7060326","CN=BGLRO7060326,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/31/2019 8:10:50 AM","9/17/2020 6:55:48 PM"
"BGLRM9000702","CN=BGLRM9000702,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/26/2018 2:33:38 AM","2/24/2022 11:51:10 PM"
"BGLRO7060041","CN=BGLRO7060041,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/17/2019 3:46:01 AM","2/19/2020 6:49:15 PM"
"BGLRM901010","CN=BGLRM901010,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/27/2019 4:51:48 AM","11/12/2021 12:53:47 PM"
"BGLRL5400152","CN=BGLRL5400152,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/27/2020 11:22:31 AM","10/26/2020 12:49:41 PM"
"BGLRM9000711","CN=BGLRM9000711,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/21/2018 4:36:37 AM","11/11/2021 9:43:56 PM"
"BGLRM9000509","CN=BGLRM9000509,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","3/16/2019 3:52:41 AM","11/10/2021 5:37:00 PM"
"BGLRO7060040","CN=BGLRO7060040,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/17/2019 4:03:55 AM","9/22/2020 9:14:59 AM"
