#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=Domain users BLR,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Domain users BLR","group","ac8452e8-6fce-4479-a8be-7215844e1502","Domain users BLR","S-1-5-21-1064954374-356710528-997385118-129519"
"CN=BANGALORE INDIA ALL ASSOCIATES_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BANGALORE INDIA ALL ASSOCIATES_GBS","group","7b6075db-ffda-48a9-8d46-8d8bd110a4e4","BANGALORE INDIA ALL ASSOCIATES_GBS","S-1-5-21-1064954374-356710528-997385118-141306"
"CN=Dojima Dev (BLR),OU=BGLR Exchange,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Dojima Dev (BLR)","group","48020818-b2af-4b51-baba-d6ff68b92ce4","BRMADevIN","S-1-5-21-1064954374-356710528-997385118-145525"
"CN=Sublist John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Sublist John Hogan Org_GBS","group","eb4bdd30-fe81-4329-9df2-6fe18c92b846","Sublist John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-148091"
"CN=ADFS-VIP-Access,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADFS-VIP-Access","group","f4570815-03cc-4c2f-8e7a-a6cd6fb0bbd1","ADFS-VIP-Access","S-1-5-21-1064954374-356710528-997385118-167953"
"CN=ALL_Leader1_John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader1_John Hogan Org_GBS","group","37de73df-717c-4068-88ce-f7d616ebcf2a","ALL_Leader1_John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-185411"
"CN=BR-Office365FullUserLicenseGroup,OU=EDGE Exchange,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-Office365FullUserLicenseGroup","group","390bac0a-0938-4c62-b108-42498e672772","BR-Office365FullUserLicenseGroup","S-1-5-21-1064954374-356710528-997385118-194354"
"CN=ALL_Leader0_Tim Gokey Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_GBS","group","2f9ee0ef-56e1-4229-9c70-204a0fc6553c","ALL_Leader0_Tim Gokey Org_GBS","S-1-5-21-1064954374-356710528-997385118-200389"
"CN=ALL_Jenkins_DevOps_Access List_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","ALL_Jenkins_DevOps_Access List_GBS","group","559c6a10-1e57-4b06-9021-f4b83a11e171","ALL_Jenkins_DevOps_Access List_GBS","S-1-5-21-1064954374-356710528-997385118-200992"
"CN=ALL_Leader0_Tim Gokey Org_Associates Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","group","5591ee82-63c5-47e8-843a-491b447a8961","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","S-1-5-21-1064954374-356710528-997385118-210711"
"CN=AWS-531755746648-BR_GTOBRMAMCAT_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-531755746648-BR_GTOBRMAMCAT_DEV_DeveloperPower_User_Role","group","8976df34-5ba0-471d-bb81-b5cb8bcbcf52","AWS-531755746648-BR_GTOBRMAMCAT_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-224115"
"CN=AWS-434941684328-BR_GTOBRMASTRH_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-434941684328-BR_GTOBRMASTRH_DEV_DeveloperPower_User_Role","group","8c04c4e7-1082-4b19-96e8-bbb7c23a3a6f","AWS-434941684328-BR_GTOBRMASTRH_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-220498"
"CN=AWS-929731519984-BR_GTOBRMAPJC_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-929731519984-BR_GTOBRMAPJC_DEV_DeveloperPower_User_Role","group","d4ff03fa-1618-469c-aa5d-585e7f63850d","AWS-929731519984-BR_GTOBRMAPJC_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-220510"
"CN=UC-WebEx-Global,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","UC-WebEx-Global","group","a87713c4-fb88-4fa7-9975-8b870ef1fec0","UC-WebEx-Global","S-1-5-21-1064954374-356710528-997385118-223226"
