#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=EDGECitrix-MSOffice,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EDGECitrix-MSOffice","group","232b5e28-930d-4017-b954-d604773896d0","EDGECitrix-MSOffice","S-1-5-21-1064954374-356710528-997385118-2630"
"CN=EDGECitrix-Reflections,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EDGECitrix-Reflections","group","70bc4b92-4b53-4576-b919-f5861e793ccb","EDGECitrix-Reflections","S-1-5-21-1064954374-356710528-997385118-2635"
"CN=EDGECitrix-RDP,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EDGECitrix-RDP","group","396fba68-97eb-45af-bca9-8462e1b01c9e","EDGECitrix-RDP","S-1-5-21-1064954374-356710528-997385118-28614"
"CN=DELH-XDP Data Alert,OU=DELH Exchange,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","DELH-XDP Data Alert","group","b3c7f70f-42e6-4d67-94e2-3b8f5c57ae89","DELH-XDP Data Alert","S-1-5-21-1064954374-356710528-997385118-49501"
"CN=DELH-Associates,OU=DELH Exchange,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","DELH-Associates","group","000c7278-0915-49d2-a307-9206de244652","DELH-Associates","S-1-5-21-1064954374-356710528-997385118-45323"
"CN=EdgeXen-RDP6.5,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeXen-RDP6.5","group","58434da6-132f-4212-afe4-97b17f8c7e8b","EdgeXen-RDP6.5","S-1-5-21-1064954374-356710528-997385118-67112"
"CN=MTRX-MSCS Suite Users,OU=MTRX Groups,OU=MTRX,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","MTRX-MSCS Suite Users","group","98e918f0-0980-42c8-8dfe-b6f1a38a0382","MTRX-MSCS Suite Users","S-1-5-21-1064954374-356710528-997385118-68748"
"CN=Volleyball (DEL),OU=DELH Exchange,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Volleyball (DEL)","group","8c68f5cb-7215-4935-9246-9d44ba19d3af","Volleyball (DEL)","S-1-5-21-1064954374-356710528-997385118-80827"
"CN=DELH-Users,OU=DELH Groups,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","DELH-Users","group","a8c27d68-b093-41c3-be24-3b2a704d87e1","DELH-Users","S-1-5-21-1064954374-356710528-997385118-69378"
"CN=DELH-PnetTeam-SG,OU=DELH Groups,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","DELH-PnetTeam-SG","group","a53fcfd6-93f7-4dd1-8652-175d8426f1d0","DELH-PnetTeam-SG","S-1-5-21-1064954374-356710528-997385118-88467"
"CN=DELH-XDPTeam-SG,OU=DELH Groups,OU=DELH,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","DELH-XDPTeam-SG","group","a44bdf81-02b5-43b1-93ad-1f183658b5d3","DELH-XDPTeam-SG","S-1-5-21-1064954374-356710528-997385118-88476"
