#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=Edgecitrix-Production Automic UI,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Edgecitrix-Production Automic UI","group","5185a789-dc25-4b96-8631-7cd79525d89a","Edgecitrix-Production Automic UI","S-1-5-21-1064954374-356710528-997385118-114956"
"CN=Domain users BLR,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Domain users BLR","group","ac8452e8-6fce-4479-a8be-7215844e1502","Domain users BLR","S-1-5-21-1064954374-356710528-997385118-129519"
"CN=BANGALORE INDIA ALL ASSOCIATES_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BANGALORE INDIA ALL ASSOCIATES_GBS","group","7b6075db-ffda-48a9-8d46-8d8bd110a4e4","BANGALORE INDIA ALL ASSOCIATES_GBS","S-1-5-21-1064954374-356710528-997385118-141306"
"CN=Sublist John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Sublist John Hogan Org_GBS","group","eb4bdd30-fe81-4329-9df2-6fe18c92b846","Sublist John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-148091"
"CN=ADFS-VIP-Access,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADFS-VIP-Access","group","f4570815-03cc-4c2f-8e7a-a6cd6fb0bbd1","ADFS-VIP-Access","S-1-5-21-1064954374-356710528-997385118-167953"
"CN=ALL_Leader1_John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader1_John Hogan Org_GBS","group","37de73df-717c-4068-88ce-f7d616ebcf2a","ALL_Leader1_John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-185411"
"CN=BR-Office365FullUserLicenseGroup,OU=EDGE Exchange,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-Office365FullUserLicenseGroup","group","390bac0a-0938-4c62-b108-42498e672772","BR-Office365FullUserLicenseGroup","S-1-5-21-1064954374-356710528-997385118-194354"
"CN=EdgeCitrix-Unicorn Developer,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Unicorn Developer","group","6dd9a028-dae7-4c5a-b526-4c18f51b4dcc","EdgeCitrix-Unicorn Developer","S-1-5-21-1064954374-356710528-997385118-194391"
"CN=UNIPRU_DevOps_Nexus_Users,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","UNIPRU_DevOps_Nexus_Users","group","b31cb35b-b42a-4d54-931c-c6f3fd00871c","UNIPRU_DevOps_Nexus_Users","S-1-5-21-1064954374-356710528-997385118-197583"
