#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=log-systems (HYD),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","log-systems (HYD)","group","4648ba3d-032f-4308-9036-3b504d23e189","log-systems (HYD)","S-1-5-21-1064954374-356710528-997385118-26628"
"CN=HBADSystems,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","HBADSystems","group","9b88a26f-1bab-439a-be1f-b5cc223e6707","HBADSystems","S-1-5-21-1064954374-356710528-997385118-17243"
"CN=log-backups (HYD),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","log-backups (HYD)","group","e43f5c93-27d8-4faf-8e92-ac003ab5312f","log-backups (HYD)","S-1-5-21-1064954374-356710528-997385118-26626"
"CN=PF Admin (HYD),OU=HBAD Groups,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","PF Admin (HYD)","group","d0f031d8-a82d-47ed-b55f-673a51a69f9a","PF Admin (HYD)","S-1-5-21-1064954374-356710528-997385118-17994"
"CN=Virus Alerts (HYD),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Virus Alerts (HYD)","group","a8b4cd41-6e30-4444-af42-3e896079adc7","Virus Alerts (HYD)","S-1-5-21-1064954374-356710528-997385118-18040"
"CN=Helpdesk OPs (Hyd),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Helpdesk OPs (Hyd)","group","12eef6ca-07bb-4688-8ba7-caa54a161181","Helpdesk OPs (Hyd)","S-1-5-21-1064954374-356710528-997385118-65789"
"CN=PC Moves (HYD),OU=HBAD Groups,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","PC Moves (HYD)","group","b37f4bdf-9ddc-417d-a58e-fc98910d17f2","PC Moves (HYD)","S-1-5-21-1064954374-356710528-997385118-26647"
"CN=BR APAC SEP Site Admins,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Global","BR APAC SEP Site Admins","group","9c8c9f1a-1323-47c9-ad09-b66d3d669285","BR APAC SEP Site Admins","S-1-5-21-1064954374-356710528-997385118-74991"
"CN=ICS All Users,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ICS All Users","group","0ab04f9b-a976-4ae0-a83f-1061dc5f0474","ICS All Users","S-1-5-21-1064954374-356710528-997385118-90308"
"CN=HBIPBWDRSFA1-install-rw,OU=CORP Varonis Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","HBIPBWDRSFA1-install-rw","group","1641b4c2-104d-42c4-a74c-0659a96c7939","HBIPBWDRSFA1-install-rw","S-1-5-21-1064954374-356710528-997385118-97421"
"CN=HBIPVWDRSFA3-Systems-rw,OU=CORP Varonis Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","HBIPVWDRSFA3-Systems-rw","group","650c35c9-14a9-4bcd-a979-7925965c9200","HBIPVWDRSFA3-Systems-rw","S-1-5-21-1064954374-356710528-997385118-101609"
"CN=BR-AvectoPrivilegedUsers,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-AvectoPrivilegedUsers","group","6d8090ec-62db-40c3-9928-ac1aa1d7ca80","BR-AvectoPrivilegedUsers","S-1-5-21-1064954374-356710528-997385118-114714"
"CN=EdgeCitrix-Production Firefox,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Production Firefox","group","5a984f53-51a4-4d23-9df5-4d4d3c11ca87","EdgeCitrix-Production Firefox","S-1-5-21-1064954374-356710528-997385118-113947"
"CN=EdgeCitrix-Production Chrome TS,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Production Chrome TS","group","0e43eb0d-cfad-4d3b-8118-c2606b6c6959","EdgeCitrix-Production Chrome TS","S-1-5-21-1064954374-356710528-997385118-113910"
"CN=Broadridge Desktop Engineering,OU=EDGE Exchange,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Broadridge Desktop Engineering","group","a6a4bf19-00ab-461d-8fa1-0a589796793f","Broadridge Desktop Engineering","S-1-5-21-1064954374-356710528-997385118-25075"
"CN=HBAD SSL Test,OU=HBAD Groups,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","HBAD SSL Test","group","39f0a196-12bc-4b2e-9e60-fc9feca390ed","HBAD SSL Test","S-1-5-21-1064954374-356710528-997385118-113269"
"CN=BR-Tier3Access,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-Tier3Access","group","43164c35-b4a8-45c7-8f1b-2b3883e3a13a","BR-Tier3Access","S-1-5-21-1064954374-356710528-997385118-125253"
"CN=BR IT Team (BLR),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR IT Team (BLR)","group","b5800bd9-c562-4153-b964-7505b2aaa036","BR IT Team (BLR)","S-1-5-21-1064954374-356710528-997385118-140269"
"CN=Domain users BLR,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Domain users BLR","group","ac8452e8-6fce-4479-a8be-7215844e1502","Domain users BLR","S-1-5-21-1064954374-356710528-997385118-129519"
"CN=BANGALORE INDIA ALL ASSOCIATES_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BANGALORE INDIA ALL ASSOCIATES_GBS","group","7b6075db-ffda-48a9-8d46-8d8bd110a4e4","BANGALORE INDIA ALL ASSOCIATES_GBS","S-1-5-21-1064954374-356710528-997385118-141306"
"CN=LP-BLR-Clearing,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","LP-BLR-Clearing","group","81aaa3bf-2378-4f2f-91c2-fc9bc343fd75","LP-BLR-Clearing","S-1-5-21-1064954374-356710528-997385118-142500"
"CN=LP-BLR-FacCol,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","LP-BLR-FacCol","group","423ce913-8d5f-41d9-8ecb-e6b54718dc30","LP-BLR-FacCol","S-1-5-21-1064954374-356710528-997385118-147259"
"CN=BRCC-AllUsers,OU=ELDO Groups,OU=ELDO,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BRCC-AllUsers","group","d865fb93-13cb-4d1b-9a9e-894f1731d255","BRCC-AllUsers","S-1-5-21-1064954374-356710528-997385118-150584"
"CN=Sublist John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Sublist John Hogan Org_GBS","group","eb4bdd30-fe81-4329-9df2-6fe18c92b846","Sublist John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-148091"
"CN=LP-BLR-ICS-DC,OU=BGLR Groups,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","LP-BLR-ICS-DC","group","95d71082-b655-409a-bfb2-cde4e6cfd393","LP-BLR-ICS-DC","S-1-5-21-1064954374-356710528-997385118-181782"
"CN=ALL_Leader1_John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader1_John Hogan Org_GBS","group","37de73df-717c-4068-88ce-f7d616ebcf2a","ALL_Leader1_John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-185411"
"CN=BR-Office365FullUserLicenseGroup,OU=EDGE Exchange,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-Office365FullUserLicenseGroup","group","390bac0a-0938-4c62-b108-42498e672772","BR-Office365FullUserLicenseGroup","S-1-5-21-1064954374-356710528-997385118-194354"
"CN=ICS All Users BSG,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ICS All Users BSG","group","9c46ba2d-c20e-4041-83fd-e8b5d50f8638","ICS All Users BSG","S-1-5-21-1064954374-356710528-997385118-193268"
