#TYPE System.Management.Automation.PSCustomObject
"ComputerName","AppName","AppVersion","AppVendor","InstalledDate","UninstallKey","AppGUID","SoftwareArchitecture"
"BGLRT495000999","Anaconda3 2020.07 (Python 3.8.3 64-bit)","2020.07","Anaconda, Inc.",,"""C:\ProgramData\Anaconda3\Uninstall-Anaconda3.exe""","Anaconda3 2020.07 (Python 3.8.3 64-bit)","x64"
"BGLRT495000999","Bomgar Representative Console 15.2.2 [execsupport.broadridge.com]","15.2.2","Bomgar Corporation",,"C:\Program Files\Bomgar\Bomgar Representative Console\execsupport.broadridge.com\remove.exe","Bomgar Representative Console [execsupport.broadridge.com]","x64"
"BGLRT495000999","Git","2.39.0","The Git Development Community","20221216","""C:\Program Files\Git\unins000.exe""","Git_is1","x64"
"BGLRT495000999","Greenshot 1.2.10.6","1.2.10.6","Greenshot","20211001","""C:\Program Files\Greenshot\unins000.exe""","Greenshot_is1","x64"
"BGLRT495000999","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60724","Microsoft Corporation",,"c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\Microsoft Visual Studio 2010 Tools for Office Runtime (x64)\install.exe","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","x64"
"BGLRT495000999","Mozilla Firefox ESR (x64 en-US)","102.6.0","Mozilla",,"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""","Mozilla Firefox 102.6.0 ESR (x64 en-US)","x64"
"BGLRT495000999","Mozilla Maintenance Service","102.6.0","Mozilla",,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""","MozillaMaintenanceService","x64"
"BGLRT495000999","Notepad++ (64-bit x64)","8.4.7","Notepad++ Team",,"""C:\Program Files\Notepad++\uninstall.exe""","Notepad++","x64"
"BGLRT495000999","Microsoft 365 Apps for enterprise - en-us","16.0.14931.20806","Microsoft Corporation",,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365ProPlusRetail.16_en-us_x-none culture=en-us version.16=16.0","O365ProPlusRetail - en-us","x64"
"BGLRT495000999","TreeSize Free V4.6.2 (64 bit)","4.6.2","JAM Software","20221206","""C:\Program Files\JAM Software\TreeSize Free\unins000.exe""","TreeSize Free_is1","x64"
"BGLRT495000999","TreeSize V8.2.1 (64 bit)","8.2.1","JAM Software","20220128","""C:\Program Files\JAM Software\TreeSize\unins000.exe""","TreeSize_is1","x64"
"BGLRT495000999","Privilege Management for Windows (x64) 5.5.149.0","5.5.149.0","BeyondTrust Corporation","20201216","MsiExec.exe /X{10e4b3b5-e50e-440b-9b9f-9c04483b593a}","{10e4b3b5-e50e-440b-9b9f-9c04483b593a}","x64"
"BGLRT495000999","64 Bit HP CIO Components Installer","21.2.1","HP Inc.","20210325","MsiExec.exe /I{13DA9C7C-EBFB-40D0-94A1-55B42883DF21}","{13DA9C7C-EBFB-40D0-94A1-55B42883DF21}","x64"
"BGLRT495000999","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20210630","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","x64"
"BGLRT495000999","7-Zip 22.01 (x64 edition)","22.01.00.0","Igor Pavlov","20220725","MsiExec.exe /I{23170F69-40C1-2702-2201-000001000000}","{23170F69-40C1-2702-2201-000001000000}","x64"
"BGLRT495000999","Java 8 Update 333 (64-bit)","8.0.3330.2","Oracle Corporation","20220525","MsiExec.exe /X{26A24AE4-039D-4CA4-87B4-2F64180333F0}","{26A24AE4-039D-4CA4-87B4-2F64180333F0}","x64"
"BGLRT495000999","AgentInstall-x64_15_8","15.8.00200.01086","Symantec Corp.","20220630","MsiExec.exe /X{3A3DF992-BD0A-447D-8A9C-515BE9C2F050}","{3A3DF992-BD0A-447D-8A9C-515BE9C2F050}","x64"
"BGLRT495000999","Webex","42.9.0.23494","Cisco Systems, Inc","20221215","MsiExec.exe /X{4919D12C-EAE6-590E-B730-B3C8C2E97266}","{4919D12C-EAE6-590E-B730-B3C8C2E97266}","x64"
"BGLRT495000999","Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660","Microsoft Corporation","20200709","MsiExec.exe /X{5740BD44-B58D-321A-AFC0-6D3D4556DD6C}","{5740BD44-B58D-321A-AFC0-6D3D4556DD6C}","x64"
"BGLRT495000999","Microsoft Policy Platform","68.1.1010.0","Microsoft Corporation","20200709","MsiExec.exe /X{6549B04F-E826-4E0A-8C3F-388540F08541}","{6549B04F-E826-4E0A-8C3F-388540F08541}","x64"
"BGLRT495000999","Debug Diagnostics 2 Update 3","2.3.0.38","Microsoft Corporation","20210420","MsiExec.exe /I{7A94F4D3-AC7B-48EB-866E-BBA62AEFFA4B}","{7A94F4D3-AC7B-48EB-866E-BBA62AEFFA4B}","x64"
"BGLRT495000999","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60729","Microsoft Corporation","20200709","MsiExec.exe /X{7C0242A3-8B66-35D1-9FE0-13B426ACB609}","{7C0242A3-8B66-35D1-9FE0-13B426ACB609}","x64"
"BGLRT495000999","Office 16 Click-to-Run Licensing Component","16.0.14931.20806","Microsoft Corporation","20221121","MsiExec.exe /I{90160000-007E-0000-1000-0000000FF1CE}","{90160000-007E-0000-1000-0000000FF1CE}","x64"
"BGLRT495000999","Office 16 Click-to-Run Extensibility Component","16.0.14931.20392","Microsoft Corporation","20220718","MsiExec.exe /X{90160000-008C-0000-1000-0000000FF1CE}","{90160000-008C-0000-1000-0000000FF1CE}","x64"
"BGLRT495000999","Office 16 Click-to-Run Localization Component","16.0.13801.20638","Microsoft Corporation","20210719","MsiExec.exe /X{90160000-008C-0409-1000-0000000FF1CE}","{90160000-008C-0409-1000-0000000FF1CE}","x64"
"BGLRT495000999","Google Chrome","108.0.5359.125","Google LLC","20221205","MsiExec.exe /X{9D24A55A-BF91-3D33-A58D-1B8522F1C55C}","{9D24A55A-BF91-3D33-A58D-1B8522F1C55C}","x64"
"BGLRT495000999","Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.31.31103","14.31.31103","Microsoft Corporation","20220510","MsiExec.exe /I{A181A302-3F6D-4BAD-97A8-A426A6499D78}","{A181A302-3F6D-4BAD-97A8-A426A6499D78}","x64"
"BGLRT495000999","Microsoft Visual C++ 2022 X64 Additional Runtime - 14.31.31103","14.31.31103","Microsoft Corporation","20220510","MsiExec.exe /I{A977984B-9244-49E3-BD24-43F0A8009667}","{A977984B-9244-49E3-BD24-43F0A8009667}","x64"
"BGLRT495000999","Adobe Acrobat (64-bit)","22.003.20282","Adobe","20221118","MsiExec.exe /I{AC76BA86-1033-1033-7760-BC15014EA700}","{AC76BA86-1033-1033-7760-BC15014EA700}","x64"
"BGLRT495000999","MDOP MBAM","2.5.1147.0","Microsoft Corporation","20210220","MsiExec.exe /X{AEC5BCA3-A2C5-46D7-9873-7698E6D3CAA4}","{AEC5BCA3-A2C5-46D7-9873-7698E6D3CAA4}","x64"
"BGLRT495000999","Configuration Manager Client","5.00.9088.1000","Microsoft Corporation","20220829",,"{BD519452-D374-4040-92A6-2F3A803B2F26}","x64"
"BGLRT495000999","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660","12.0.40660","Microsoft Corporation","20200709","MsiExec.exe /X{CB0836EC-B072-368D-82B2-D3470BF95707}","{CB0836EC-B072-368D-82B2-D3470BF95707}","x64"
"BGLRT495000999","McAfee Client Proxy","3.1.0.215","McAfee","20210324","MsiExec.exe /X{CBD69ACF-153C-472C-BA93-8A8D39FA193F}","{CBD69ACF-153C-472C-BA93-8A8D39FA193F}","x64"
"BGLRT495000999","Webex","42.12.0.24485","Cisco Systems, Inc","20221212","MsiExec.exe /X{CCB00E75-E34E-53E2-8A6C-A31011128B9A}","{CCB00E75-E34E-53E2-8A6C-A31011128B9A}","x64"
"BGLRT495000999","Grammarly for Microsoft? Office Suite","6.8.261","Grammarly","20211005","MsiExec.exe /I{DE46CC28-5477-4CFB-9AE2-8C7C111E3EE7}","{DE46CC28-5477-4CFB-9AE2-8C7C111E3EE7}","x64"
"BGLRT495000999","Local Administrator Password Solution","6.2.0.0","Microsoft Corporation","20220915","MsiExec.exe /I{EA8CB806-C109-4700-96B4-F1F268E5036C}","{EA8CB806-C109-4700-96B4-F1F268E5036C}","x64"
"BGLRT495000999","Java(TM) SE Development Kit 18.0.2.1 (64-bit)","18.0.2.1","Oracle Corporation","20220823","MsiExec.exe /X{F3A2A837-F83B-5732-97F2-309BE0F51E0C}","{F3A2A837-F83B-5732-97F2-309BE0F51E0C}","x64"
"BGLRT495000999","Cisco AnyConnect Secure Mobility Client ","4.10.05111","Cisco Systems, Inc.",,"C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\Uninstall.exe -remove","Cisco AnyConnect Secure Mobility Client","x86"
"BGLRT495000999","Citrix Receiver 4.9 LTSR","14.9.9002.6","Citrix Systems, Inc.",,"""C:\ProgramData\Citrix\Citrix Receiver\TrolleyExpress.exe"" /uninstall /cleanup","CitrixOnlinePluginPackWeb","x86"
"BGLRT495000999","Microsoft Edge Update","1.3.171.37",,,,"Microsoft Edge Update","x86"
"BGLRT495000999","Microsoft Edge WebView2 Runtime","108.0.1462.46","Microsoft Corporation","20221212","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\108.0.1462.46\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging","Microsoft EdgeWebView","x86"
"BGLRT495000999","PyCharm Community Edition 2020.2.3","202.7660.27","JetBrains s.r.o.",,"C:\Program Files\JetBrains\PyCharm Community Edition 2020.2.3\bin\Uninstall.exe","PyCharm Community Edition 2020.2.3","x86"
"BGLRT495000999","VLC media player","3.0.18","VideoLAN",,"""C:\Program Files (x86)\VideoLAN\VLC\uninstall.exe""","VLC media player","x86"
"BGLRT495000999","YubiKey Personalization Tool","3.1.25","Yubico AB",,"""C:\Program Files (x86)\Yubico\YubiKey Personalization Tool\uninstall.exe""","yubikey-personalization-gui","x86"
"BGLRT495000999","Thinkpad USB Ethernet Adapter Driver","10.13.1115.2016","Lenovo","20200709","C:\Program Files (x86)\InstallShield Installation Information\{04201224-2B34-4EE7-862B-B7BBF89DB3AB}\setup.exe -runfromtemp -removeonly","{04201224-2B34-4EE7-862B-B7BBF89DB3AB}","x86"
"BGLRT495000999","Citrix Receiver(Aero)","14.9.9002.6","Citrix Systems, Inc.","20210517","MsiExec.exe /X{0C1EBAAC-66A4-4549-9888-49B21DCCB995}","{0C1EBAAC-66A4-4549-9888-49B21DCCB995}","x86"
"BGLRT495000999","Webex Recorder and Player","42.12.4.9","Cisco Webex LLC","20221213","MsiExec.exe /I{0F0A6D96-5423-3A0D-479F-943E78E2E12E}","{0F0A6D96-5423-3A0D-479F-943E78E2E12E}","x86"
