#TYPE System.Management.Automation.PSCustomObject
"ComputerName","AppName","AppVersion","AppVendor","InstalledDate","UninstallKey","AppGUID","SoftwareArchitecture"
"10.104.236.17","Beyond Compare 4.4.4","4.4.4.27058","Scooter Software","20221206","""C:\Program Files\Beyond Compare 4\unins000.exe""","BeyondCompare4_is1","x64"
"10.104.236.17","Greenshot 1.2.10.6","1.2.10.6","Greenshot","20221125","""C:\Program Files\Greenshot\unins000.exe""","Greenshot_is1","x64"
"10.104.236.17","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60724","Microsoft Corporation",,"c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\Microsoft Visual Studio 2010 Tools for Office Runtime (x64)\install.exe","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","x64"
"10.104.236.17","Mozilla Firefox ESR (x64 en-US)","102.6.0","Mozilla",,"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""","Mozilla Firefox 102.6.0 ESR (x64 en-US)","x64"
"10.104.236.17","Mozilla Maintenance Service","102.6.0","Mozilla",,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""","MozillaMaintenanceService","x64"
"10.104.236.17","Notepad++ (64-bit x64)","8.4.7","Notepad++ Team",,"""C:\Program Files\Notepad++\uninstall.exe""","Notepad++","x64"
"10.104.236.17","Microsoft 365 Apps for enterprise - en-us","16.0.14931.20806","Microsoft Corporation",,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365ProPlusRetail.16_en-us_x-none culture=en-us version.16=16.0","O365ProPlusRetail - en-us","x64"
"10.104.236.17","Microsoft OneDrive","22.238.1114.0002","Microsoft Corporation",,"C:\Program Files\Microsoft OneDrive\22.238.1114.0002\OneDriveSetup.exe  /uninstall  /allusers ","OneDriveSetup.exe","x64"
"10.104.236.17","TreeSize V8.2.1 (64 bit)","8.2.1","JAM Software","20221125","""C:\Program Files\JAM Software\TreeSize\unins000.exe""","TreeSize_is1","x64"
"10.104.236.17","Symantec WSS Agent","7.3.5","Symantec",,"msiexec.exe /x {CCD25164-9D95-4877-9D18-8F341CB9F106} AI_UNINSTALLER_CTP=1","WSS Agent 7.3.5","x64"
